PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,,pts_diff,fg_pct_diff,ft_pct_diff,fg3_pct_diff,ast_diff,reb_diff
134,0.472,0.767,0.243,29,52,1610612762,132,0.448,0.727,0.4,34,51,1,,2,0.024,0.04,-0.157,-5,1
116,0.524,0.929,0.455,25,42,1610612747,111,0.42,0.737,0.333,20,44,1,,5,0.104,0.192,0.122,5,-2
112,0.488,0.864,0.306,28,37,1610612756,119,0.478,0.95,0.375,27,52,0,,-7,0.01,-0.086,-0.069,1,-15
136,0.417,0.92,0.321,37,54,1610612749,132,0.475,0.676,0.341,26,55,1,,4,-0.058,0.244,-0.02,11,-1
119,0.506,0.769,0.409,27,47,1610612762,111,0.418,0.792,0.432,25,49,1,,8,0.088,-0.023,-0.023,2,-2
121,0.554,0.9,0.355,24,58,1610612760,92,0.351,0.733,0.302,19,36,1,,29,0.203,0.167,0.053,5,22
119,0.488,0.643,0.425,30,44,1610612758,106,0.427,0.75,0.3,19,50,1,,13,0.061,-0.107,0.125,11,-6
108,0.409,0.727,0.276,19,51,1610612753,101,0.42,0.76,0.25,17,47,1,,7,-0.011,-0.033,0.026,2,4
118,0.477,0.846,0.343,25,45,1610612764,107,0.422,0.913,0.37,22,40,1,,11,0.055,-0.067,-0.027,3,5
100,0.427,0.824,0.263,20,48,1610612738,122,0.49,0.75,0.348,27,52,0,,-22,-0.063,0.074,-0.085,-7,-4
140,0.538,0.727,0.485,26,39,1610612740,125,0.573,0.739,0.412,31,30,1,,15,-0.035,-0.012,0.073,-5,9
130,0.526,0.868,0.405,27,44,1610612748,116,0.422,0.926,0.457,28,39,1,,14,0.104,-0.058,-0.052,-1,5
114,0.467,0.95,0.265,27,53,1610612754,99,0.435,0.789,0.345,20,38,1,,15,0.032,0.161,-0.08,7,15
111,0.448,0.762,0.354,24,37,1610612746,126,0.543,0.8,0.452,22,45,0,,-15,-0.095,-0.038,-0.098,2,-8
115,0.524,0.765,0.5,30,44,1610612757,125,0.467,0.8,0.59,30,39,0,,-10,0.057,-0.035,-0.09,0,5
113,0.429,0.87,0.368,26,34,1610612747,97,0.455,0.694,0.105,18,48,1,,16,-0.026,0.176,0.263,8,-14
124,0.452,0.909,0.4,25,46,1610612763,115,0.473,0.72,0.379,21,41,1,,9,-0.021,0.189,0.021,4,5
98,0.424,0.792,0.333,17,48,1610612755,107,0.463,0.69,0.379,27,41,0,,-9,-0.039,0.102,-0.046,-10,7
126,0.495,0.852,0.367,29,35,1610612743,132,0.549,0.857,0.389,31,46,0,,-6,-0.054,-0.005,-0.022,-2,-11
86,0.352,0.655,0.135,17,46,1610612760,105,0.43,0.889,0.208,17,52,0,,-19,-0.078,-0.234,-0.073,0,-6
99,0.402,0.692,0.268,26,43,1610612761,109,0.487,0.7,0.364,25,44,0,,-10,-0.085,-0.008,-0.096,1,-1
149,0.568,0.829,0.513,29,43,1610612751,115,0.474,0.81,0.25,23,34,1,,34,0.094,0.019,0.263,6,9
116,0.477,0.652,0.333,28,54,1610612751,119,0.417,0.75,0.368,30,42,0,,-3,0.06,-0.098,-0.035,-2,12
110,0.413,0.667,0.372,26,47,1610612742,114,0.367,0.78,0.22,22,61,0,,-4,0.046,-0.113,0.152,4,-14
115,0.494,0.852,0.276,21,48,1610612756,117,0.469,0.714,0.531,25,44,0,,-2,0.025,0.138,-0.255,-4,4
120,0.548,0.789,0.394,29,32,1610612753,109,0.476,0.826,0.353,21,43,1,,11,0.072,-0.037,0.041,8,-11
112,0.442,0.744,0.349,22,42,1610612738,106,0.435,0.815,0.303,15,45,1,,6,0.007,-0.071,0.046,7,-3
110,0.411,0.69,0.387,18,64,1610612745,102,0.391,0.625,0.358,24,39,1,,8,0.02,0.065,0.029,-6,25
103,0.425,0.938,0.311,29,41,1610612761,107,0.433,0.917,0.5,19,39,0,,-4,-0.008,0.021,-0.189,10,2
113,0.425,0.774,0.417,20,42,1610612743,121,0.483,0.769,0.28,23,46,0,,-8,-0.058,0.005,0.137,-3,-4
100,0.436,0.538,0.367,30,45,1610612754,111,0.478,1,0.269,20,45,0,,-11,-0.042,-0.462,0.098,10,0
109,0.451,0.615,0.379,25,49,1610612763,99,0.398,0.867,0.279,25,43,1,,10,0.053,-0.252,0.1,0,6
132,0.529,0.867,0.452,26,35,1610612759,130,0.495,0.897,0.462,21,44,1,,2,0.034,-0.03,-0.01,5,-9
108,0.446,0.88,0.279,25,42,1610612747,116,0.5,0.806,0.346,23,38,0,,-8,-0.054,0.074,-0.067,2,4
118,0.422,0.838,0.333,23,48,1610612764,110,0.455,0.778,0.29,26,46,1,,8,-0.033,0.06,0.043,-3,2
128,0.545,0.765,0.6,24,36,1610612757,124,0.5,0.938,0.452,31,35,1,,4,0.045,-0.173,0.148,-7,1
106,0.462,0.833,0.233,27,39,1610612759,108,0.419,0.727,0.414,22,49,0,,-2,0.043,0.106,-0.181,5,-10
132,0.524,0.8,0.474,31,46,1610612758,116,0.495,0.818,0.286,30,39,1,,16,0.029,-0.018,0.188,1,7
